Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;02 PRIMARIA;04 CUARTO;77;4
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;02 PRIMARIA;05 QUINTO;91;5
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;03 SECUNDARIA;06 SEXTO;136;7
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;03 SECUNDARIA;07 SÉPTIMO;129;6
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;03 SECUNDARIA;08 OCTAVO;105;5
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;03 SECUNDARIA;09 NOVENO;110;6
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;04 MEDIA;10 DÉCIMO;123;6
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;04 MEDIA;11 ONCE;82;4
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;01 PREESCOLAR;00 TRANSICIÓN;180;9
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;02 PRIMARIA;01 PRIMERO;169;8
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;02 PRIMARIA;02 SEGUNDO;140;7
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;02 PRIMARIA;03 TERCERO;157;8
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;02 PRIMARIA;04 CUARTO;137;7
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;02 PRIMARIA;05 QUINTO;140;7
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;03 SECUNDARIA;06 SEXTO;160;8
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;03 SECUNDARIA;07 SÉPTIMO;153;8
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;03 SECUNDARIA;08 OCTAVO;158;8
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;03 SECUNDARIA;09 NOVENO;148;7
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;04 MEDIA;10 DÉCIMO;103;5
2023;INSTITUCION EDUCATIVA JUANITA GARCIA MANJARREZ;04 MEDIA;11 ONCE;95;5
2023;INSTITUCION EDUCATIVA LA UNION;01 PREESCOLAR;00 TRANSICIÓN;161;8
2023;INSTITUCION EDUCATIVA LA UNION;02 PRIMARIA;01 PRIMERO;177;9
2023;INSTITUCION EDUCATIVA LA UNION;02 PRIMARIA;02 SEGUNDO;155;8
2023;INSTITUCION EDUCATIVA LA UNION;02 PRIMARIA;03 TERCERO;170;9
